label,N,total_reward_mean,total_reward_std,total_reward_se,total_reward_ci_low,total_reward_ci_high,total_reward_cohen_d_vs_K1,accuracy_mean,accuracy_std,accuracy_se,accuracy_ci_low,accuracy_ci_high,accuracy_cohen_d_vs_K1,choice_accuracy_mean,choice_accuracy_std,choice_accuracy_se,choice_accuracy_ci_low,choice_accuracy_ci_high,choice_accuracy_cohen_d_vs_K1
K=1,10,0.1,0.30000000000000004,0.09486832980505139,-0.11460707179650204,0.31460707179650205,0.0,0.000125,0.000375,0.00011858541225631421,-0.00014325883974562748,0.0003932588397456275,0.0,0.1,0.30000000000000004,0.09486832980505139,-0.11460707179650204,0.31460707179650205,0.0
Hard,10,111.0,24.298148077579903,7.683749084919418,93.61815196997591,128.3818480300241,6.454168068608076,0.6597500000000001,0.042066910987140486,0.01330272528469261,0.6296571447117524,0.6898428552882477,22.174519983794916,0.7688289013152795,0.04163143196863804,0.013165014727524377,0.7390475689503305,0.7986102336802284,3.1229628214711136
Medium,10,112.8,11.93984924527944,3.7757118534125453,104.25874638592968,121.34125361407031,13.344522119295203,0.6303750000000001,0.013750568170079384,0.004348311453886443,0.6205384360982704,0.6402115639017298,64.79563757731201,0.8080751970923636,0.021084044967674315,0.006667360438726203,0.7929925799185691,0.8231578142661582,3.32968546203479
Soft,10,67.1,11.058480908334563,3.4969987131824913,59.189239312482655,75.01076068751733,8.565142170567075,0.361875,0.0228872917795007,0.007237597149607046,0.345502417766164,0.378247582233836,22.349656084487936,0.8719253970494769,0.045213206993307074,0.014297671441950368,0.8395818171849344,0.9042689769140194,3.598255795500594
