interval,model,run_idx,parameters,mean_accuracy,total_reward,adaptation_time,mean_gamma,log_likelihood,aic,bic
80,M2,19,4,0.92125,456,2.111111111111111,2.122743617106872,-427.1738782018696,862.3477564037393,881.0862033144109
80,M3,0,14,0.92625,482,2.111111111111111,2.4999999999974993,-37.774292657210594,103.54858531442119,169.13314950177215
80,M3,1,14,0.9475,472,1.8888888888888888,2.4999999999974993,-37.410041234905364,102.82008246981073,168.40464665716172
80,M3,2,14,0.9475,522,2.5555555555555554,2.4999999999974993,-33.28870068085964,94.57740136171928,160.16196554907026
80,M3,3,14,0.93,492,1.7777777777777777,2.4999999999974993,-34.20844479878566,96.41688959757133,162.00145378492232
80,M3,4,14,0.94,496,2.111111111111111,2.4999999999974993,-34.22816728991006,96.45633457982012,162.0408987671711
80,M3,5,14,0.945,468,1.5555555555555556,2.4999999999974993,-37.517351531162234,103.03470306232447,168.61926724967543
80,M3,6,14,0.94,474,2.111111111111111,2.4999999999974993,-37.6777655986527,103.3555311973054,168.9400953846564
80,M3,7,14,0.9475,514,2.3333333333333335,2.4999999999974993,-31.779017138540727,91.55803427708145,157.14259846443244
80,M3,8,14,0.94,452,1.5555555555555556,2.4999999999974993,-36.80562978827828,101.61125957655656,167.19582376390753
80,M3,9,14,0.93875,506,2.4444444444444446,2.4999999999974993,-35.37155597027708,98.74311194055416,164.32767612790514
80,M3,10,14,0.9425,476,2.4444444444444446,2.4999999999974993,-38.89344901094458,105.78689802188916,171.37146220924012
80,M3,11,14,0.96125,508,1.6666666666666667,2.4999999999974993,-33.35469594864812,94.70939189729624,160.29395608464722
80,M3,12,14,0.9475,508,2.888888888888889,2.4999999999974993,-36.653823522641545,101.30764704528309,166.89221123263405
80,M3,13,14,0.95,516,2.3333333333333335,2.4999999999974993,-34.149222008394474,96.29844401678895,161.8830082041399
80,M3,14,14,0.92625,478,3.2222222222222223,2.4999999999974993,-35.915679046665566,99.83135809333113,165.4159222806821
80,M3,15,14,0.95375,498,1.8888888888888888,2.4999999999974993,-32.244601139221345,92.48920227844269,158.07376646579365
80,M3,16,14,0.955,518,2.0,2.4999999999974993,-34.55689964452671,97.11379928905342,162.69836347640438
80,M3,17,14,0.94875,524,2.3333333333333335,2.4999999999974993,-31.655215998515846,91.31043199703169,156.89499618438268
80,M3,18,14,0.9475,532,2.4444444444444446,2.4999999999974993,-31.43129407515976,90.86258815031951,156.4471523376705
80,M3,19,14,0.92375,456,2.111111111111111,2.4999999999974993,-42.06751522071292,112.13503044142584,177.7195946287768
