interval,model,run_idx,parameters,mean_accuracy,total_reward,adaptation_time,mean_gamma,log_likelihood,aic,bic
80,M1,0,3,0.92625,478,2.111111111111111,2.5,-351.25930326165366,708.5186065233073,722.5724417063111
80,M1,1,3,0.9475,472,1.8888888888888888,2.5,-352.7168508253817,711.4337016507634,725.4875368337672
80,M1,2,3,0.94875,520,2.5555555555555554,2.5,-345.64860078867224,697.2972015773445,711.3510367603483
80,M1,3,3,0.93125,494,1.7777777777777777,2.5,-348.3991420739381,702.7982841478762,716.85211933088
80,M1,4,3,0.94,496,2.111111111111111,2.5,-348.9297458865239,703.8594917730478,717.9133269560516
80,M1,5,3,0.94375,466,1.5555555555555556,2.5,-352.62208697711924,711.2441739542385,725.2980091372423
80,M1,6,3,0.9425,474,2.111111111111111,2.5,-351.9472658406398,709.8945316812795,723.9483668642833
80,M1,7,3,0.94875,516,2.2222222222222223,2.5,-345.9885278906146,697.9770557812292,712.030890964233
80,M1,8,3,0.94,452,1.5555555555555556,2.5,-353.66559482607187,713.3311896521437,727.3850248351475
80,M1,9,3,0.93875,506,2.4444444444444446,2.5,-348.29249350804116,702.5849870160823,716.6388221990861
80,M1,10,3,0.945,480,2.3333333333333335,2.5,-353.0011480298479,712.0022960596958,726.0561312426996
80,M1,11,3,0.9625,510,1.6666666666666667,2.5,-347.4548608553706,700.9097217107412,714.963556893745
80,M1,12,3,0.95,508,2.888888888888889,2.5,-348.71976922399983,703.4395384479997,717.4933736310035
80,M1,13,3,0.95,516,2.3333333333333335,2.5,-347.14707961910074,700.2941592382015,714.3479944212053
80,M1,14,3,0.9275,480,3.2222222222222223,2.5,-350.6159059909901,707.2318119819802,721.285647164984
80,M1,15,3,0.95375,498,1.8888888888888888,2.5,-348.1304645567818,702.2609291135636,716.3147642965674
80,M1,16,3,0.955,518,2.0,2.5,-347.1673606929853,700.3347213859706,714.3885565689744
80,M1,17,3,0.95,526,2.3333333333333335,2.5,-344.6335974305302,695.2671948610604,709.3210300440642
80,M1,18,3,0.9475,532,2.4444444444444446,2.5,-343.3005355119891,692.6010710239782,706.654906206982
80,M1,19,3,0.9225,454,2.111111111111111,2.5,-355.2532294457461,716.5064588914922,730.560294074496
80,M2,0,4,0.925,480,2.111111111111111,2.1332593248753637,-421.57572936486497,851.1514587297299,869.8899056404016
80,M2,1,4,0.9475,472,1.8888888888888888,2.1217923835114596,-425.352737102112,858.705474204224,877.4439211148956
80,M2,2,4,0.9475,518,2.5555555555555554,2.158642632915333,-411.3959841685963,830.7919683371927,849.5304152478643
80,M2,3,4,0.93,492,1.7777777777777777,2.1477679825833595,-416.164732021157,840.329464042314,859.0679109529857
80,M2,4,4,0.94,500,2.111111111111111,2.1400213441833085,-418.4068594196789,844.8137188393578,863.5521657500294
80,M2,5,4,0.94375,470,1.5555555555555556,2.122857497329657,-425.3617934288726,858.7235868577452,877.4620337684169
80,M2,6,4,0.9425,474,2.111111111111111,2.12861765301424,-423.16580474608884,854.3316094921777,873.0700564028493
80,M2,7,4,0.94875,516,2.2222222222222223,2.155247052715046,-412.3067349787834,832.6134699575668,851.3519168682385
80,M2,8,4,0.94,452,1.5555555555555556,2.119796912849294,-427.2847582798345,862.569516559669,881.3079634703406
80,M2,9,4,0.93875,510,2.4444444444444446,2.1422481532762343,-417.1884180323675,842.376836064735,861.1152829754067
80,M2,10,4,0.94375,482,2.3333333333333335,2.124537403887666,-425.1351941503067,858.2703883006134,877.008835211285
80,M2,11,4,0.9625,510,1.6666666666666667,2.1433831732597977,-416.22772187777827,840.4554437555565,859.1938906662282
80,M2,12,4,0.94625,502,2.7777777777777777,2.1447603551904324,-417.6384608721241,843.2769217442482,862.0153686549198
80,M2,13,4,0.945,508,2.3333333333333335,2.152284568949386,-414.34515754489223,836.6903150897845,855.4287620004561
80,M2,14,4,0.9275,480,3.111111111111111,2.13181649750911,-422.3343895646104,852.6687791292208,871.4072260398924
80,M2,15,4,0.95125,494,1.8888888888888888,2.139313698406754,-418.75049239436623,845.5009847887325,864.2394316994041
80,M2,16,4,0.95375,516,2.0,2.149530412207567,-414.64512065279837,837.2902413055967,856.0286882162684
80,M2,17,4,0.95,526,2.3333333333333335,2.1621800078075033,-409.68268719072205,827.3653743814441,846.1038212921158
80,M2,18,4,0.945,528,2.4444444444444446,2.168222199325431,-407.5785084142184,823.1570168284368,841.8954637391084
